,Country,AmountDonated,AmountReceived,Diff
17,India,0.0,-133980.469969,-133980.469969
43,Thailand,0.025460999999999998,-49041.31744,-49041.291979
3,Brazil,1.13444,-36607.258078,-36606.123638
6,Colombia,0.190795,-25530.536307,-25530.345512
31,Poland,0.403184,-24517.225188,-24516.822004
21,Korea,1299.04772,-25294.323452999997,-23995.275733
38,South Africa,0.0,-18655.55507,-18655.55507
5,Chile,0.564349,-7334.129129999999,-7333.564780999999
22,Kuwait,1369.078319,-7771.540075999999,-6402.461756999999
34,Romania,0.0,-3329.0598609999997,-3329.0598609999997
42,Taiwan,83.737498,-3399.5544099999997,-3315.816912
35,Saudi Arabia,1698.4106889999998,-4877.749103,-3179.3384140000003
15,Hungary,0.324552,-2925.327491,-2925.002939
8,Czech Republic,8.930435,-2141.913341,-2132.9829059999997
7,Cyprus,0.005599,-968.154947,-968.149348
36,Slovak Republic,0.395574,-821.195623,-820.800049
18,Ireland,295.144458,-934.638729,-639.494271
33,Qatar,104.519053,-733.783749,-629.264696
25,Lithuania,0.0,-514.14327,-514.14327
14,Greece,32.667184999999996,-519.3779059999999,-486.7107209999999
26,Luxembourg,111.55402199999999,-555.0398319999999,-443.48580999999996
23,Latvia,0.0,-423.49503999999996,-423.49503999999996
10,Estonia,0.27894199999999997,-251.349503,-251.070561
44,United Arab Emirates,67.636986,-300.20647199999996,-232.56948599999998
37,Slovenia,0.150028,-225.43519999999998,-225.285172
29,New Zealand,56.749885,-225.58830999999998,-168.83842499999997
0,Australia,2446.616312,-2572.618261,-126.00194899999997
32,Portugal,68.900866,-175.242606,-106.34174
16,Iceland,0.172501,-18.060045,-17.887544
24,Liechtenstein,4.370699999999999,-18.393083,-14.022383000000001
27,Monaco,0.941387,0.0,0.941387
1,Austria,784.068952,-770.267419,13.80153299999995
11,Finland,665.953415,-180.695493,485.25792199999995
19,Italy,3835.655974,-2400.8264169999998,1434.829557
39,Spain,2014.695904,-561.711808,1452.984096
2,Belgium,2144.4452699999997,-184.34623299999998,1960.0990369999997
9,Denmark,2952.416405,-166.310586,2786.105819
41,Switzerland,2844.0879529999997,-0.326783,2843.7611699999998
4,Canada,7466.338199999999,-4068.6529659999997,3397.6852339999996
30,Norway,4416.814418,-368.001981,4048.812437
40,Sweden,6364.045876,-59.757155,6304.288721
28,Netherlands,8939.647189,0.0,8939.647189
12,France,15456.459635,-237.540854,15218.918780999998
45,United Kingdom,23690.539376,-957.3439639999999,22733.195412
13,Germany,47218.438820999996,-0.060163999999999995,47218.378656999994
20,Japan,114182.254172,-2081.102258,112101.151914
46,United States,116176.338066,-104.524992,116071.81307399999
