,Unnamed: 0,Country,AmountDonated,AmountReceived,Total,CapitalLatitude,CapitalLongitude,CapitalName,ContinentName,CountryCode
0,0,Australia,2446616312.0,2572618261.0,5019234573.0,-35.266666666666666,149.133333,Canberra,Australia,AU
1,1,Austria,784068952.0,770267419.0,1554336371.0,48.2,16.366667,Vienna,Europe,AT
2,2,Belgium,2144445270.0,184346233.0,2328791502.9999995,50.833333333333336,4.333333,Brussels,Europe,BE
3,3,Brazil,1134440.0,36607258078.0,36608392518.0,-15.783333333333333,-47.916667,Brasilia,South America,BR
4,4,Canada,7466338200.0,4068652966.0,11534991166.0,45.416666666666664,-75.7,Ottawa,Central America,CA
5,5,Chile,564349.0,7334129130.0,7334693479.0,-33.45,-70.666667,Santiago,South America,CL
6,6,Colombia,190795.0,25530536307.0,25530727102.0,4.6,-74.083333,Bogota,South America,CO
7,7,Cyprus,5599.0,968154947.0,968160546.0,35.166666666666664,33.366667,Nicosia,Europe,CY
8,8,Czech Republic,8930435.0,2141913341.0,2150843776.0000005,50.083333333333336,14.466667,Prague,Europe,CZ
9,9,Denmark,2952416405.0,166310586.0,3118726991.0,55.666666666666664,12.583333,Copenhagen,Europe,DK
10,10,Estonia,278942.0,251349503.0,251628445.0,59.43333333333333,24.716667,Tallinn,Europe,EE
11,11,Finland,665953415.0,180695493.0,846648907.9999999,60.166666666666664,24.933333,Helsinki,Europe,FI
12,12,France,15456459635.0,237540854.0,15694000489.0,48.86666666666667,2.333333,Paris,Europe,FR
13,13,Germany,47218438821.0,60164.0,47218498985.0,52.516666666666666,13.4,Berlin,Europe,DE
14,14,Greece,32667185.0,519377906.0,552045091.0,37.983333333333334,23.733333,Athens,Europe,GR
15,15,Hungary,324552.0,2925327491.0,2925652043.0,47.5,19.083333,Budapest,Europe,HU
16,16,Iceland,172501.0,18060045.0,18232546.0,64.15,-21.95,Reykjavik,Europe,IS
17,17,India,0.0,133980469969.0,133980469969.0,28.6,77.2,New Delhi,Asia,IN
18,18,Ireland,295144458.0,934638729.0,1229783187.0,53.31666666666667,-6.233333,Dublin,Europe,IE
19,19,Italy,3835655974.0,2400826417.0,6236482391.0,41.9,12.483333,Rome,Europe,IT
20,20,Japan,114182254172.0,2081102258.0,116263356430.0,35.68333333333333,139.75,Tokyo,Asia,JP
21,21,South Korea,1299047720.0,25294323453.0,26593371173.0,37.55,126.983333,Seoul,Asia,KR
22,22,Kuwait,1369078319.0,7771540076.0,9140618395.0,29.366666666666667,47.966667,Kuwait City,Asia,KW
23,23,Latvia,0.0,423495040.0,423495040.0,56.95,24.1,Riga,Europe,LV
24,24,Liechtenstein,4370700.0,18393083.0,22763783.0,47.13333333333333,9.516667,Vaduz,Europe,LI
25,25,Lithuania,0.0,514143270.00000006,514143270.00000006,54.68333333333333,25.316667,Vilnius,Europe,LT
26,26,Luxembourg,111554022.0,555039832.0,666593854.0,49.6,6.116667,Luxembourg,Europe,LU
27,27,Monaco,941387.0,0.0,941387.0,43.733333333333334,7.416667,Monaco,Europe,MC
28,28,Netherlands,8939647189.0,0.0,8939647189.0,52.35,4.916667,Amsterdam,Europe,NL
29,29,New Zealand,56749885.0,225588310.0,282338195.0,-41.3,174.783333,Wellington,Australia,NZ
30,30,Norway,4416814418.0,368001981.0,4784816399.000001,59.916666666666664,10.75,Oslo,Europe,NO
31,31,Poland,403184.0,24517225188.0,24517628372.0,52.25,21.0,Warsaw,Europe,PL
32,32,Portugal,68900866.0,175242606.0,244143472.0,38.71666666666667,-9.133333,Lisbon,Europe,PT
33,33,Qatar,104519053.0,733783749.0,838302802.0,25.283333333333335,51.533333,Doha,Asia,QA
34,34,Romania,0.0,3329059861.0,3329059861.0,44.43333333333333,26.1,Bucharest,Europe,RO
35,35,Saudi Arabia,1698410689.0,4877749103.0,6576159792.000001,24.65,46.7,Riyadh,Asia,SA
36,36,Slovakia,395574.0,821195623.0,821591197.0,48.15,17.116667,Bratislava,Europe,SK
37,37,Slovenia,150028.0,225435200.0,225585228.0,46.05,14.516667,Ljubljana,Europe,SI
38,38,South Africa,0.0,18655555070.0,18655555070.0,-25.7,28.216667,Pretoria,Africa,ZA
39,39,Spain,2014695904.0,561711808.0,2576407712.0000005,40.4,-3.683333,Madrid,Europe,ES
40,40,Sweden,6364045876.0,59757155.0,6423803031.000001,59.333333333333336,18.05,Stockholm,Europe,SE
41,41,Switzerland,2844087953.0,326783.0,2844414736.0,46.916666666666664,7.466667,Bern,Europe,CH
42,42,Taiwan,83737498.0,3399554410.0,3483291908.0,25.033333333333335,121.516667,Taipei,Asia,TW
43,43,Thailand,25461.0,49041317440.0,49041342901.0,13.75,100.516667,Bangkok,Asia,TH
44,44,United Arab Emirates,67636986.0,300206472.0,367843458.0,24.466666666666665,54.366667,Abu Dhabi,Asia,AE
45,45,United Kingdom,23690539376.0,957343964.0,24647883340.0,51.5,-0.083333,London,Europe,GB
46,46,United States,116176338066.0,104524992.0,116280863058.00003,38.883333,-77.0,Washington  D.C.,US,US
