,country,amount,CapitalLatitude,CapitalLongitude,CapitalName,ContinentName,CountryCode
36,South Africa,18655555070.0,-25.7,28.216667,Pretoria,Africa,ZA
22,Kuwait,7771540076.0,29.366666666666667,47.966667,Kuwait City,Asia,KW
42,United Arab Emirates,300206472.0,24.466666666666665,54.366667,Abu Dhabi,Asia,AE
41,Thailand,49041317440.0,13.75,100.516667,Bangkok,Asia,TH
40,Taiwan,3399554410.0,25.033333333333335,121.516667,Taipei,Asia,TW
33,Saudi Arabia,4877749103.0,24.65,46.7,Riyadh,Asia,SA
31,Qatar,733783749.0,25.283333333333335,51.533333,Doha,Asia,QA
21,South Korea,25294323453.0,37.55,126.983333,Seoul,Asia,KR
20,Japan,2081102258.0,35.68333333333333,139.75,Tokyo,Asia,JP
17,India,133980469969.0,28.6,77.2,New Delhi,Asia,IN
27,New Zealand,225588310.0,-41.3,174.783333,Wellington,Australia,NZ
0,Australia,2572618261.0,-35.266666666666666,149.133333,Canberra,Australia,AU
4,Canada,4068652966.0,45.416666666666664,-75.7,Ottawa,Central America,CA
12,France,237540854.0,48.86666666666667,2.333333,Paris,Europe,FR
1,Austria,770267419.0,48.2,16.366667,Vienna,Europe,AT
2,Belgium,184346233.0,50.833333333333336,4.333333,Brussels,Europe,BE
39,Switzerland,326783.0,46.916666666666664,7.466667,Bern,Europe,CH
38,Sweden,59757155.0,59.333333333333336,18.05,Stockholm,Europe,SE
37,Spain,561711808.0,40.4,-3.683333,Madrid,Europe,ES
35,Slovenia,225435200.0,46.05,14.516667,Ljubljana,Europe,SI
34,Slovakia,821195623.0,48.15,17.116667,Bratislava,Europe,SK
32,Romania,3329059861.0,44.43333333333333,26.1,Bucharest,Europe,RO
30,Portugal,175242606.0,38.71666666666667,-9.133333,Lisbon,Europe,PT
29,Poland,24517225188.0,52.25,21.0,Warsaw,Europe,PL
11,Finland,180695493.0,60.166666666666664,24.933333,Helsinki,Europe,FI
7,Cyprus,968154947.0,35.166666666666664,33.366667,Nicosia,Europe,CY
28,Norway,368001981.0,59.916666666666664,10.75,Oslo,Europe,NO
25,Lithuania,514143270.0,54.68333333333333,25.316667,Vilnius,Europe,LT
13,Germany,60164.0,52.516666666666666,13.4,Berlin,Europe,DE
14,Greece,519377906.0,37.983333333333334,23.733333,Athens,Europe,GR
15,Hungary,2925327491.0,47.5,19.083333,Budapest,Europe,HU
16,Iceland,18060045.0,64.15,-21.95,Reykjavik,Europe,IS
10,Estonia,251349503.0,59.43333333333333,24.716667,Tallinn,Europe,EE
18,Ireland,934638729.0,53.31666666666667,-6.233333,Dublin,Europe,IE
26,Luxembourg,555039832.0,49.6,6.116667,Luxembourg,Europe,LU
19,Italy,2400826417.0,41.9,12.483333,Rome,Europe,IT
8,Czech Republic,2141913341.0,50.083333333333336,14.466667,Prague,Europe,CZ
43,United Kingdom,957343964.0,51.5,-0.083333,London,Europe,GB
23,Latvia,423495040.0,56.95,24.1,Riga,Europe,LV
24,Liechtenstein,18393083.0,47.13333333333333,9.516667,Vaduz,Europe,LI
9,Denmark,166310586.0,55.666666666666664,12.583333,Copenhagen,Europe,DK
5,Chile,7334129130.0,-33.45,-70.666667,Santiago,South America,CL
6,Colombia,25530536307.0,4.6,-74.083333,Bogota,South America,CO
3,Brazil,36607258078.0,-15.783333333333333,-47.916667,Brasilia,South America,BR
44,United States,104524992.0,38.883333,-77.0,Washington  D.C.,US,US
