,year,amount
0,1973,4815471897.0
1,1974,6805438160.0
2,1975,4251300370.0
3,1976,3695817798.0
4,1977,4928005626.0
5,1978,4798917046.0
6,1979,3313049889.0
7,1980,11084768370.0
8,1981,13914941751.0
9,1982,7898765091.0
10,1983,5289822156.0
11,1984,9121988920.0
12,1985,8099219529.0
13,1986,5075819571.0
14,1987,7322291929.0
15,1988,6431014421.0
16,1989,7822222548.0
17,1990,9984796418.0
18,1991,9909183298.0
19,1992,25733775206.0
20,1993,9069446815.0
21,1994,12741380627.0
22,1995,12575954148.0
23,1996,11559502222.0
24,1997,16816319694.0
25,1998,9162285245.0
26,1999,19346515804.0
27,2000,10067267430.0
28,2001,8967715691.0
29,2002,10441800934.0
30,2003,6532477767.0
31,2004,6870229881.0
32,2005,6882499999.0
33,2006,7632072160.0
34,2007,8164622756.0
35,2008,9173125349.0
36,2009,8227203076.0
37,2010,7667034251.0
38,2011,6619141947.0
39,2012,9785500738.0
40,2013,8205444038.0
